title,year,genre,rating
"White Balloon, The (Badkonake sefid)",1995,Children,4.0
Things to Do in Denver When You're Dead,1995,Crime,3.107142857142857
Antonia's Line (Antonia),1995,Comedy,3.875
Once Upon a Time... When We Were Colored,1995,Drama,3.0
Angels and Insects,1995,Drama,3.857142857142857
White Squall,1996,Action,3.966666666666667
Dunston Checks In,1996,Children,2.5
Black Sheep,1996,Comedy,3.15625
Nick of Time,1995,Action,3.25
Mary Reilly,1996,Drama,2.625
Vampire in Brooklyn,1995,Comedy,2.8333333333333335
Beautiful Girls,1996,Comedy,3.95
Broken Arrow,1996,Action,3.0238095238095237
In the Bleak Midwinter,1995,Comedy,3.5
"Hate (Haine, La)",1995,Crime,3.9
Heidi Fleiss: Hollywood Madam,1995,Documentary,5.0
City Hall,1996,Drama,2.7857142857142856
Bottle Rocket,1996,Adventure,3.782608695652174
Mr. Wrong,1996,Comedy,2.4
Unforgettable,1996,Mystery,3.0
Happy Gilmore,1996,Comedy,3.4393939393939394
"Bridges of Madison County, The",1995,Drama,3.282608695652174
Nobody Loves Me (Keiner liebt mich),1994,Comedy,4.0
Muppet Treasure Island,1996,Adventure,3.326923076923077
Catwalk,1996,Documentary,4.0
Braveheart,1995,Action,4.031645569620253
Taxi Driver,1976,Crime,4.105769230769231
Rumble in the Bronx (Hont faan kui),1995,Action,3.5434782608695654
Before and After,1996,Drama,3.3333333333333335
Anne Frank Remembered,1995,Documentary,3.9
"Young Poisoner's Handbook, The",1995,Crime,3.0
If Lucy Fell,1996,Comedy,2.5
"Steal Big, Steal Little",1995,Comedy,3.0
"Boys of St. Vincent, The",1992,Drama,4.0
Boomerang,1992,Comedy,2.65625
Chungking Express (Chung Hing sam lam),1994,Drama,4.375
Flirting With Disaster,1996,Comedy,3.5833333333333335
"NeverEnding Story III, The",1994,Adventure,2.0
Jupiter's Wife,1994,Documentary,3.0
Pie in the Sky,1996,Comedy,2.0
Jade,1995,Thriller,2.8333333333333335
Down Periscope,1996,Comedy,2.9516129032258065
Man of the Year,1995,Documentary,3.0
Up Close and Personal,1996,Drama,3.5
"Birdcage, The",1996,Comedy,3.494186046511628
"Brothers McMullen, The",1995,Comedy,3.3333333333333335
Bad Boys,1995,Action,3.2450980392156863
"Amazing Panda Adventure, The",1995,Adventure,3.3333333333333335
"Basketball Diaries, The",1995,Drama,3.466666666666667
"Awfully Big Adventure, An",1995,Drama,5.0
Amateur,1994,Crime,2.0
Apollo 13,1995,Adventure,3.845771144278607
Rob Roy,1995,Action,3.5454545454545454
"Addiction, The",1995,Drama,1.5
Batman Forever,1995,Action,2.9160583941605838
Beauty of the Day (Belle de jour),1967,Drama,3.875
Beyond Rangoon,1995,Adventure,2.4166666666666665
Blue in the Face,1995,Comedy,3.3333333333333335
Canadian Bacon,1995,Comedy,2.8636363636363638
Casper,1995,Adventure,2.806451612903226
Clockers,1995,Crime,2.892857142857143
Congo,1995,Action,2.8771929824561404
Crimson Tide,1995,Drama,3.6359223300970873
Crumb,1994,Documentary,4.205882352941177
Desperado,1995,Action,3.5606060606060606
Devil in a Blue Dress,1995,Crime,3.3214285714285716
Die Hard: With a Vengeance,1995,Action,3.5555555555555554
"Doom Generation, The",1995,Comedy,2.8333333333333335
First Knight,1995,Action,3.0833333333333335
Free Willy 2: The Adventure Home,1995,Adventure,2.4
Hackers,1995,Action,3.2285714285714286
Jeffrey,1995,Comedy,3.8333333333333335
Johnny Mnemonic,1995,Action,2.6792452830188678
Judge Dredd,1995,Action,2.6693548387096775
Jury Duty,1995,Comedy,2.7
Kids,1995,Drama,3.975
Living in Oblivion,1995,Comedy,4.3076923076923075
Lord of Illusions,1995,Horror,2.75
Love & Human Remains,1993,Comedy,1.0
Mad Love,1995,Drama,1.5
Mallrats,1995,Comedy,3.4027777777777777
Mighty Morphin Power Rangers: The Movie,1995,Action,2.264705882352941
Mute Witness,1994,Comedy,3.5
Nadja,1994,Drama,3.5
"Net, The",1995,Action,3.0401785714285716
Nine Months,1995,Comedy,2.8229166666666665
Party Girl,1995,Comedy,4.125
"Prophecy, The",1995,Fantasy,3.4583333333333335
Reckless,1995,Comedy,3.0
Safe,1995,Thriller,2.8
"Scarlet Letter, The",1995,Drama,2.4166666666666665
Showgirls,1995,Drama,2.4714285714285715
Smoke,1995,Comedy,3.6666666666666665
Something to Talk About,1995,Comedy,3.1
Species,1995,Horror,2.6666666666666665
Strange Days,1995,Action,3.25
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,Drama,4.125
Three Wishes,1995,Drama,3.0
Total Eclipse,1995,Drama,3.0
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy,3.4318181818181817
Under Siege 2: Dark Territory,1995,Action,2.716666666666667
Unstrung Heroes,1995,Comedy,3.1666666666666665
Unzipped,1995,Documentary,3.0
"Walk in the Clouds, A",1995,Drama,3.4285714285714284
Waterworld,1995,Action,2.9130434782608696
White Man's Burden,1995,Drama,3.1666666666666665
Wild Bill,1995,Western,3.0
"Browning Version, The",1994,Drama,3.5
Bushwhacked,1995,Adventure,3.0
Burnt by the Sun (Utomlyonnye solntsem),1994,Drama,3.8333333333333335
Before the Rain (Pred dozhdot),1994,Drama,4.0
Before Sunrise,1995,Drama,4.041666666666667
Billy Madison,1995,Comedy,3.326530612244898
"Babysitter, The",1995,Drama,2.3333333333333335
Boys on the Side,1995,Comedy,3.4285714285714284
"Cure, The",1995,Drama,3.0
Castle Freak,1995,Horror,3.0
Circle of Friends,1995,Drama,3.75
Clerks,1994,Comedy,3.855769230769231
Don Juan DeMarco,1995,Comedy,3.6125
Disclosure,1994,Drama,3.5384615384615383
Drop Zone,1994,Action,2.8636363636363638
Destiny Turns on the Radio,1995,Comedy,2.3333333333333335
Death and the Maiden,1994,Drama,3.4285714285714284
Dolores Claiborne,1995,Drama,3.3958333333333335
Dumb & Dumber (Dumb and Dumber),1994,Adventure,3.0601503759398496
Eat Drink Man Woman (Yin shi nan nu),1994,Comedy,3.892857142857143
Exotica,1994,Drama,3.5
Exit to Eden,1994,Comedy,2.588235294117647
Ed Wood,1994,Comedy,3.6785714285714284
French Kiss,1995,Action,3.477777777777778
Forget Paris,1995,Comedy,3.340909090909091
Far From Home: The Adventures of Yellow Dog,1995,Adventure,4.0
"Goofy Movie, A",1995,Animation,3.0
Hideaway,1995,Thriller,2.375
Fluke,1995,Children,4.0
Farinelli: il castrato,1994,Drama,3.6
Gordy,1995,Children,3.0
Hoop Dreams,1994,Documentary,4.293103448275862
Heavenly Creatures,1994,Crime,3.9285714285714284
Houseguest,1994,Comedy,3.176470588235294
Immortal Beloved,1994,Drama,3.7222222222222223
Heavyweights (Heavy Weights),1995,Children,2.5
"Hunted, The",1995,Action,3.0
I.Q.,1994,Comedy,3.453488372093023
Interview with the Vampire: The Vampire Chronicles,1994,Drama,3.458715596330275
Jefferson in Paris,1995,Drama,3.0
"Jerky Boys, The",1995,Comedy,2.0714285714285716
Junior,1994,Comedy,2.8285714285714287
Just Cause,1995,Mystery,3.5
"Kid in King Arthur's Court, A",1995,Adventure,2.6
Kiss of Death,1995,Crime,3.2
Star Wars: Episode IV - A New Hope,1977,Action,4.231075697211155
Little Women,1994,Drama,3.880952380952381
"Little Princess, A",1995,Children,3.9047619047619047
Ladybird Ladybird,1994,Drama,4.0
Like Water for Chocolate (Como agua para chocolate),1992,Drama,3.9393939393939394
Legends of the Fall,1994,Drama,3.3970588235294117
Major Payne,1995,Comedy,2.9411764705882355
My Crazy Life (Mi vida loca),1993,Drama,3.0
Love Affair,1994,Drama,3.4
Losing Isaiah,1995,Drama,3.5
"Madness of King George, The",1994,Comedy,3.7580645161290325
Mary Shelley's Frankenstein (Frankenstein),1994,Drama,2.9464285714285716
Man of the House,1995,Comedy,2.9285714285714284
Mixed Nuts,1994,Comedy,2.0
Milk Money,1994,Comedy,3.25
Miracle on 34th Street,1994,Drama,3.223684210526316
Miami Rhapsody,1995,Comedy,1.5
My Family,1995,Drama,3.0
Murder in the First,1995,Drama,4.076923076923077
Nobody's Fool,1994,Comedy,3.7857142857142856
Nell,1994,Drama,3.3375
New Jersey Drive,1995,Crime,3.6666666666666665
New York Cop (Nyû Yôku no koppu),1993,Action,4.5
Beyond Bedlam,1993,Drama,4.0
Nina Takes a Lover,1994,Comedy,3.0
Natural Born Killers,1994,Action,3.233695652173913
Only You,1994,Comedy,3.5625
Once Were Warriors,1994,Crime,4.035714285714286
Poison Ivy II,1996,Drama,2.3333333333333335
Outbreak,1995,Action,3.4257425742574257
Léon: The Professional (a.k.a. The Professional) (Léon),1994,Action,4.018796992481203
"Perez Family, The",1995,Comedy,3.0
"Pyromaniac's Love Story, A",1995,Comedy,3.0
Pulp Fiction,1994,Comedy,4.197068403908795
Pushing Hands (Tui shou),1992,Drama,2.0
Priest,1994,Drama,4.0
Quiz Show,1994,Drama,3.5185185185185186
Picture Bride (Bijo photo),1994,Drama,4.0
"Queen Margot (Reine Margot, La)",1994,Drama,3.2
"Quick and the Dead, The",1995,Action,2.953125
Roommates,1995,Comedy,3.6666666666666665
Ready to Wear (Pret-A-Porter),1994,Comedy,2.8333333333333335
Three Colors: Red (Trois couleurs: Rouge),1994,Drama,4.21875
Three Colors: Blue (Trois couleurs: Bleu),1993,Drama,3.8958333333333335
Three Colors: White (Trzy kolory: Bialy),1994,Comedy,4.025
Rent-a-Kid,1995,Comedy,3.0
Relative Fear,1994,Horror,3.0
Stuart Saves His Family,1995,Comedy,1.4444444444444444
"Swan Princess, The",1994,Animation,3.3333333333333335
"Secret of Roan Inish, The",1994,Children,3.75
"Specialist, The",1994,Action,3.0789473684210527
Stargate,1994,Action,3.375
"Santa Clause, The",1994,Comedy,3.2037037037037037
"Shawshank Redemption, The",1994,Crime,4.429022082018927
Shallow Grave,1994,Comedy,3.6
Suture,1993,Film-Noir,3.0
Strawberry and Chocolate (Fresa y chocolate),1993,Drama,4.0
Swimming with Sharks,1995,Comedy,3.55
"Sum of Us, The",1994,Comedy,4.0
National Lampoon's Senior Trip,1995,Comedy,2.5
To Live (Huozhe),1994,Drama,4.0
Tank Girl,1995,Action,2.823529411764706
Tales from the Crypt Presents: Demon Knight,1995,Horror,3.15
Star Trek: Generations,1994,Adventure,3.3935185185185186
Tales from the Hood,1995,Action,3.0
Tom & Viv,1994,Drama,3.0
Village of the Damned,1995,Horror,2.8333333333333335
Tommy Boy,1995,Comedy,3.78
Vanya on 42nd Street,1994,Drama,4.2
Underneath,1995,Mystery,3.5
"Walking Dead, The",1995,Drama,3.0
What's Eating Gilbert Grape,1993,Drama,3.7662337662337664
Virtuosity,1995,Action,2.8421052631578947
While You Were Sleeping,1995,Comedy,3.4693877551020407
"War, The",1994,Adventure,3.4
Double Happiness,1994,Drama,4.0
Muriel's Wedding,1994,Comedy,3.272727272727273
"Baby-Sitters Club, The",1995,Children,2.9
Ace Ventura: Pet Detective,1994,Comedy,3.040372670807453
"Adventures of Priscilla, Queen of the Desert, The",1994,Comedy,3.5972222222222223
Backbeat,1993,Drama,3.5
Bitter Moon,1992,Drama,3.5
Bullets Over Broadway,1994,Comedy,3.5833333333333335
Clear and Present Danger,1994,Action,3.6045454545454545
"Client, The",1994,Drama,3.3859649122807016
"Corrina, Corrina",1994,Comedy,3.176470588235294
Crooklyn,1994,Comedy,2.5
"Crow, The",1994,Action,3.609375
Cobb,1994,Drama,3.3333333333333335
"Flintstones, The",1994,Children,2.357142857142857
Forrest Gump,1994,Comedy,4.164133738601824
Four Weddings and a Funeral,1994,Comedy,3.5194174757281553
Higher Learning,1995,Drama,2.6666666666666665
I Like It Like That,1994,Comedy,3.0
I Love Trouble,1994,Action,2.6875
It Could Happen to You,1994,Comedy,3.0588235294117645
"Jungle Book, The",1994,Adventure,3.5294117647058822
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",1993,Documentary,4.0
"Lion King, The",1994,Adventure,3.941860465116279
Little Buddha,1993,Drama,3.25
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",1994,Drama,2.9166666666666665
"Mask, The",1994,Action,3.1847133757961785
Maverick,1994,Adventure,3.5
Mrs. Parker and the Vicious Circle,1994,Drama,4.0
Naked Gun 33 1/3: The Final Insult,1994,Action,3.060344827586207
"Paper, The",1994,Comedy,3.3095238095238093
Reality Bites,1994,Comedy,2.761904761904762
Red Rock West,1992,Thriller,3.6363636363636362
Richie Rich,1994,Children,2.2
"River Wild, The",1994,Action,3.25
Speed,1994,Action,3.5292397660818713
Speechless,1994,Comedy,2.7857142857142856
Timecop,1994,Action,2.5
True Lies,1994,Action,3.497191011235955
When a Man Loves a Woman,1994,Drama,3.8181818181818183
Wolf,1994,Drama,3.15625
Wyatt Earp,1994,Western,3.0952380952380953
Bad Company,1995,Action,3.25
"Man of No Importance, A",1994,Drama,4.0
S.F.W.,1994,Drama,3.0
"Low Down Dirty Shame, A",1994,Action,2.375
Boys Life,1995,Drama,3.0
"Colonel Chabert, Le",1994,Drama,4.5
Faster Pussycat! Kill! Kill!,1965,Action,3.7
Jason's Lyric,1994,Crime,4.5
Street Fighter,1994,Action,2.5
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),1994,Action,2.4166666666666665
Federal Hill,1994,Drama,3.0
In the Mouth of Madness,1995,Horror,3.4375
8 Seconds,1994,Drama,3.0
Above the Rim,1994,Crime,2.0
Addams Family Values,1993,Children,3.1011904761904763
"Age of Innocence, The",1993,Drama,3.5
Airheads,1994,Comedy,2.7884615384615383
"Air Up There, The",1994,Comedy,2.3333333333333335
Another Stakeout,1993,Comedy,2.53125
Bad Girls,1994,Western,2.5
Barcelona,1994,Comedy,3.6923076923076925
Being Human,1993,Drama,3.0
"Beverly Hillbillies, The",1993,Comedy,2.675
Beverly Hills Cop III,1994,Action,2.7203389830508473
Black Beauty,1994,Adventure,3.2083333333333335
Blink,1994,Thriller,3.2
Blown Away,1994,Action,2.85
Blue Chips,1994,Drama,1.8333333333333333
Blue Sky,1994,Drama,3.75
Body Snatchers,1993,Horror,3.142857142857143
Boxing Helena,1993,Drama,2.5416666666666665
"Bronx Tale, A",1993,Drama,3.7222222222222223
Cabin Boy,1994,Comedy,2.0
Calendar Girl,1993,Comedy,3.75
Carlito's Way,1993,Crime,3.738095238095238
City Slickers II: The Legend of Curly's Gold,1994,Adventure,2.6454545454545455
Clean Slate,1994,Comedy,2.75
Cliffhanger,1993,Action,3.0346534653465347
Coneheads,1993,Comedy,2.4206349206349205
Color of Night,1994,Drama,2.5714285714285716
Cops and Robbersons,1994,Comedy,2.1666666666666665
"Cowboy Way, The",1994,Action,2.7142857142857144
Dave,1993,Comedy,3.5460526315789473
Dazed and Confused,1993,Comedy,3.9285714285714284
Demolition Man,1993,Action,3.0925925925925926
Even Cowgirls Get the Blues,1993,Comedy,2.3333333333333335
Fatal Instinct,1993,Comedy,3.0
Farewell My Concubine (Ba wang bie ji),1993,Drama,3.8333333333333335
Fearless,1993,Drama,3.625
Fear of a Black Hat,1994,Comedy,1.0
With Honors,1994,Comedy,3.0
Flesh and Bone,1993,Drama,4.0
Widows' Peak,1994,Drama,3.0
For Love or Money,1993,Comedy,2.8
"Firm, The",1993,Drama,3.5346534653465347
Free Willy,1993,Adventure,2.391891891891892
Fresh,1994,Crime,3.75
"Fugitive, The",1993,Thriller,3.9921052631578946
Geronimo: An American Legend,1993,Drama,2.8
"Getaway, The",1994,Action,2.25
Getting Even with Dad,1994,Comedy,2.6666666666666665
Go Fish,1994,Drama,2.75
Hard Target,1993,Action,2.9
Hot Shots! Part Deux,1993,Action,2.8666666666666667
Live Nude Girls,1995,Comedy,5.0
"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995,Comedy,3.2045454545454546
"House of the Spirits, The",1993,Drama,3.4
House Party 3,1994,Comedy,1.0
"Hudsucker Proxy, The",1994,Comedy,3.55
I'll Do Anything,1994,Comedy,2.5833333333333335
In the Army Now,1994,Comedy,1.8571428571428572
In the Line of Fire,1993,Action,3.692857142857143
In the Name of the Father,1993,Drama,4.3
"Inkwell, The",1994,Comedy,1.0
What's Love Got to Do with It?,1993,Drama,3.3823529411764706
Jimmy Hollywood,1994,Comedy,2.5
Judgment Night,1993,Action,2.25
Jurassic Park,1993,Action,3.75
Kalifornia,1993,Drama,3.1578947368421053
Killing Zoe,1994,Crime,3.625
Lassie,1994,Adventure,3.0
Last Action Hero,1993,Action,2.9339622641509435
Life with Mikey,1993,Comedy,3.0
Lightning Jack,1994,Comedy,2.5
M. Butterfly,1993,Drama,3.0
Made in America,1993,Comedy,2.8636363636363638
Malice,1993,Thriller,3.0
"Man Without a Face, The",1993,Drama,3.2941176470588234
Manhattan Murder Mystery,1993,Comedy,3.75
Menace II Society,1993,Action,3.6666666666666665
Executive Decision,1996,Action,3.3780487804878048
In the Realm of the Senses (Ai no corrida),1976,Drama,5.0
What Happened Was...,1994,Comedy,5.0
Much Ado About Nothing,1993,Comedy,3.813953488372093
Mr. Wonderful,1993,Comedy,2.5
Mrs. Doubtfire,1993,Comedy,3.388888888888889
Naked,1993,Drama,3.6666666666666665
"Next Karate Kid, The",1994,Action,2.3666666666666667
No Escape,1994,Action,3.0
North,1994,Comedy,2.2142857142857144
Orlando,1992,Drama,4.5
"Perfect World, A",1993,Crime,3.3846153846153846
Philadelphia,1993,Drama,3.6136363636363638
"Piano, The",1993,Drama,3.540983606557377
Poetic Justice,1993,Drama,3.0
"Program, The",1993,Action,3.0
"Puppet Masters, The",1994,Horror,3.0
Radioland Murders,1994,Comedy,3.375
"Ref, The",1994,Comedy,3.4166666666666665
"Remains of the Day, The",1993,Drama,3.6041666666666665
Renaissance Man,1994,Comedy,3.0555555555555554
Rising Sun,1993,Action,3.2777777777777777
"Road to Wellville, The",1994,Comedy,2.375
RoboCop 3,1993,Action,2.4047619047619047
Robin Hood: Men in Tights,1993,Comedy,3.130434782608696
Romeo Is Bleeding,1993,Crime,3.1666666666666665
Romper Stomper,1992,Action,3.2857142857142856
Ruby in Paradise,1993,Drama,3.5
Rudy,1993,Drama,3.485294117647059
"Savage Nights (Nuits fauves, Les)",1992,Drama,4.0
Schindler's List,1993,Drama,4.225
"Scout, The",1994,Comedy,2.3333333333333335
Searching for Bobby Fischer,1993,Drama,3.875
"Secret Garden, The",1993,Children,3.25
Serial Mom,1994,Comedy,3.0
"Shadow, The",1994,Action,2.888888888888889
Shadowlands,1993,Drama,3.607142857142857
Short Cuts,1993,Drama,3.2666666666666666
"Simple Twist of Fate, A",1994,Drama,3.3333333333333335
Sirens,1994,Drama,3.1666666666666665
Six Degrees of Separation,1993,Drama,3.5833333333333335
Sleepless in Seattle,1993,Comedy,3.4716981132075473
Sliver,1993,Thriller,2.6666666666666665
Blade Runner,1982,Action,4.100806451612903
Son in Law,1993,Comedy,2.7857142857142856
So I Married an Axe Murderer,1993,Comedy,3.317073170731707
Striking Distance,1993,Action,2.4375
Super Mario Bros.,1993,Action,2.0
Surviving the Game,1994,Action,3.25
Terminal Velocity,1994,Action,2.75
Thirty-Two Short Films About Glenn Gould,1993,Drama,4.5
Threesome,1994,Comedy,3.4
"Nightmare Before Christmas, The",1993,Animation,3.553763440860215
"Three Musketeers, The",1993,Action,3.262295081967213
Tombstone,1993,Action,3.8153846153846156
True Romance,1993,Crime,3.8
"War Room, The",1993,Documentary,3.3333333333333335
"Pagemaster, The",1994,Action,2.9375
Welcome to the Dollhouse,1995,Comedy,3.5434782608695654
Germinal,1993,Drama,4.0
Chasers,1994,Comedy,1.5
Kika,1993,Comedy,2.0
Bhaji on the Beach,1993,Comedy,3.5
Little Big League,1994,Comedy,2.6666666666666665
"Ciao, Professore! (Io speriamo che me la cavo)",1992,Drama,3.5
Spanking the Monkey,1994,Comedy,3.25
"Little Rascals, The",1994,Children,2.65625
Andre,1994,Adventure,2.125
"Escort, The (Scorta, La)",1993,Crime,3.0
Princess Caraboo,1994,Drama,2.8
"Celluloid Closet, The",1995,Documentary,4.0
Dear Diary (Caro Diario),1994,Comedy,4.0
"Brady Bunch Movie, The",1995,Comedy,2.736111111111111
Home Alone,1990,Children,2.9956896551724137
Ghost,1990,Comedy,3.4347826086956523
Aladdin,1992,Adventure,3.7923497267759565
Terminator 2: Judgment Day,1991,Action,3.970982142857143
Dances with Wolves,1990,Adventure,3.8353658536585367
Batman,1989,Action,3.4285714285714284
"Silence of the Lambs, The",1991,Crime,4.161290322580645
Snow White and the Seven Dwarfs,1937,Animation,3.616883116883117
Beauty and the Beast,1991,Animation,3.7705479452054793
Pinocchio,1940,Animation,3.45
Pretty Woman,1990,Comedy,3.4851851851851854
"Wild Bunch, The",1969,Adventure,3.8181818181818183
Love and a .45,1994,Action,4.0
"Great Day in Harlem, A",1994,Documentary,4.0
One Fine Day,1996,Drama,3.0
Candyman: Farewell to the Flesh,1995,Fantasy,3.0
Fargo,1996,Comedy,4.116022099447513
Homeward Bound II: Lost in San Francisco,1996,Adventure,3.5714285714285716
Heavy Metal,1981,Action,3.5454545454545454
Hellraiser: Bloodline,1996,Action,2.4166666666666665
"Pallbearer, The",1996,Comedy,2.5
Jane Eyre,1996,Drama,3.1875
Bread and Chocolate (Pane e cioccolata),1973,Comedy,3.0
"Aristocats, The",1970,Animation,3.411111111111111
"Flower of My Secret, The (La flor de mi secreto)",1995,Comedy,2.8333333333333335
Two Much,1995,Comedy,3.0
Ed,1996,Comedy,2.6
"Thin Line Between Love and Hate, A",1996,Comedy,5.0
"Last Supper, The",1995,Drama,3.3333333333333335
Primal Fear,1996,Crime,3.642857142857143
All Dogs Go to Heaven 2,1996,Adventure,3.1818181818181817
Land and Freedom (Tierra y libertad),1995,Drama,4.0
Denise Calls Up,1995,Comedy,5.0
Theodore Rex,1995,Comedy,2.25
"Family Thing, A",1996,Comedy,3.0
Frisk,1995,Drama,3.0
Sgt. Bilko,1996,Comedy,3.0454545454545454
Jack and Sarah,1995,Romance,3.0
Girl 6,1996,Comedy,3.0
Diabolique,1996,Drama,2.6818181818181817
Nelly & Monsieur Arnaud,1995,Drama,3.5
Courage Under Fire,1996,Action,3.3275862068965516
Mission: Impossible,1996,Action,3.537037037037037
Cold Fever (Á köldum klaka),1995,Comedy,3.0
Moll Flanders,1996,Drama,3.0
Dragonheart,1996,Action,3.0923076923076924
Eddie,1996,Comedy,3.0
James and the Giant Peach,1996,Adventure,3.4489795918367347
Fear,1996,Thriller,3.2857142857142856
Kids in the Hall: Brain Candy,1996,Comedy,3.2916666666666665
Underground,1995,Comedy,4.333333333333333
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),1996,Action,2.8125
Song of the Little Road (Pather Panchali),1955,Drama,4.25
"World of Apu, The (Apur Sansar)",1959,Drama,4.75
Mystery Science Theater 3000: The Movie,1996,Comedy,3.486111111111111
Space Jam,1996,Adventure,2.707547169811321
Barbarella,1968,Adventure,3.1666666666666665
Some Folks Call It a Sling Blade,1993,Drama,3.8333333333333335
"Run of the Country, The",1995,Drama,4.0
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)",1965,Drama,4.125
It's My Party,1996,Drama,4.0
Operation Dumbo Drop,1995,Action,2.3333333333333335
Mrs. Winterbourne,1996,Comedy,3.3333333333333335
Solo,1996,Action,2.0
"Substitute, The",1996,Action,2.9545454545454546
True Crime,1996,Mystery,4.0
Feeling Minnesota,1996,Drama,2.7
Delta of Venus,1995,Drama,1.0
Angus,1995,Comedy,3.2142857142857144
Boys,1996,Drama,2.0
"Quest, The",1996,Action,2.5714285714285716
Sunset Park,1996,Drama,3.0
Mulholland Falls,1996,Crime,2.880952380952381
"Truth About Cats & Dogs, The",1996,Comedy,3.3879310344827585
Oliver & Company,1988,Adventure,3.090909090909091
Celtic Pride,1996,Comedy,2.5625
Flipper,1996,Adventure,3.05
Dead Man,1995,Drama,3.966666666666667
"Horseman on the Roof, The (Hussard sur le toit, Le)",1995,Drama,3.6666666666666665
"Visitors, The (Visiteurs, Les)",1993,Comedy,4.125
Multiplicity,1996,Comedy,2.842857142857143
Wallace & Gromit: The Best of Aardman Animation,1996,Adventure,4.092592592592593
"Haunted World of Edward D. Wood Jr., The",1996,Documentary,4.0
"Craft, The",1996,Drama,3.032258064516129
"Great White Hype, The",1996,Comedy,2.5
Last Dance,1996,Drama,3.0
Cold Comfort Farm,1995,Comedy,3.5
Heaven's Prisoners,1996,Crime,3.3333333333333335
"Rock, The",1996,Action,3.6404958677685952
